AmcCode,AmcName,YardCode,YardName,CommCode,CommName,VarityCode,VarityName,Arrivals,Minimum,Maximum,Model
186,Adilabad,10,Adilabad,14,Bengal Gram,14,Common,0,0,0,0
186,Adilabad,10,Adilabad,14,Bengal Gram,14,Common,0,0,0,0
188,Bhainsa,11,Bhainsa,14,Bengal Gram,14,Common,0,0,0,0
193,Inderavally,15,Indravally,14,Bengal Gram,14,Common,0,0,0,0
197,Kubeer,29,Kubeer,14,Bengal Gram,14,Common,0,0,0,0
197,Kubeer,29,Kubeer,14,Bengal Gram,14,Common,0,0,0,0
320,Tandur,37,Tandur,14,Bengal Gram,14,Common,0,0,0,0
317,Pargi,39,Pargi,14,Bengal Gram,14,Common,0,0,0,0
319,Shankerpally,40,Shankerpally,14,Bengal Gram,14,Common,0,0,0,0
316,Narsingi,44,Narsingi,14,Bengal Gram,14,Common,0,0,0,0
204,Bodhan,1081,Bodhan,14,Bengal Gram,14,Common,0,0,0,0
206,Kamareddy,1082,Kamareddy,14,Bengal Gram,14,Common,0,0,0,0
222,Karimnagar,1121,Karimnagar,14,Bengal Gram,14,Common,0,0,0,0
212,Choppadandi,1123,Choppadandi,14,Bengal Gram,14,Common,0,0,0,0
289,Sadasivpet,1200,Sadasivapet,14,Bengal Gram,14,Common,0,0,0,0
284,Jogipet,1208,Jogipet,14,Bengal Gram,14,Common,0,0,0,0
300,Badepally,1327,Badepally,14,Bengal Gram,14,Common,0,0,0,0
297,Alampur,1329,Ieeja,14,Bengal Gram,14,Common,0,0,0,0
308,Nagarkurnool,1334,Nagarkurnool,14,Bengal Gram,14,Common,0,0,0,0
309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,0,0,0,0
304,Kollapur,1601,Kollapur,14,Bengal Gram,14,Common,0,0,0,0
186,Adilabad,10,Adilabad,14,Bengal Gram,14,Common,0,0,0,0
186,Adilabad,10,Adilabad,14,Bengal Gram,14,Common,0,0,0,0
188,Bhainsa,11,Bhainsa,14,Bengal Gram,14,Common,0,0,0,0
193,Inderavally,15,Indravally,14,Bengal Gram,14,Common,0,0,0,0
197,Kubeer,29,Kubeer,14,Bengal Gram,14,Common,0,0,0,0
197,Kubeer,29,Kubeer,14,Bengal Gram,14,Common,0,0,0,0
320,Tandur,37,Tandur,14,Bengal Gram,14,Common,0,0,0,0
317,Pargi,39,Pargi,14,Bengal Gram,14,Common,0,0,0,0
319,Shankerpally,40,Shankerpally,14,Bengal Gram,14,Common,0,0,0,0
316,Narsingi,44,Narsingi,14,Bengal Gram,14,Common,0,0,0,0
204,Bodhan,1081,Bodhan,14,Bengal Gram,14,Common,0,0,0,0
206,Kamareddy,1082,Kamareddy,14,Bengal Gram,14,Common,0,0,0,0
222,Karimnagar,1121,Karimnagar,14,Bengal Gram,14,Common,0,0,0,0
212,Choppadandi,1123,Choppadandi,14,Bengal Gram,14,Common,0,0,0,0
289,Sadasivpet,1200,Sadasivapet,14,Bengal Gram,14,Common,0,0,0,0
300,Badepally,1327,Badepally,14,Bengal Gram,14,Common,0,0,0,0
297,Alampur,1329,Ieeja,14,Bengal Gram,14,Common,0,0,0,0
308,Nagarkurnool,1334,Nagarkurnool,14,Bengal Gram,14,Common,0,0,0,0
297,Alampur,1336,Alampur,14,Bengal Gram,14,Common,0,0,0,0
309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,0,0,0,0
304,Kollapur,1601,Kollapur,14,Bengal Gram,14,Common,0,0,0,0
186,Adilabad,10,Adilabad,14,Bengal Gram,14,Common,0,0,0,0
188,Bhainsa,11,Bhainsa,14,Bengal Gram,14,Common,0,0,0,0
193,Inderavally,15,Indravally,14,Bengal Gram,14,Common,0,0,0,0
197,Kubeer,29,Kubeer,14,Bengal Gram,14,Common,0,0,0,0
197,Kubeer,29,Kubeer,14,Bengal Gram,14,Common,0,0,0,0
320,Tandur,37,Tandur,14,Bengal Gram,14,Common,0,0,0,0
317,Pargi,39,Pargi,14,Bengal Gram,14,Common,0,0,0,0
319,Shankerpally,40,Shankerpally,14,Bengal Gram,14,Common,0,0,0,0
316,Narsingi,44,Narsingi,14,Bengal Gram,14,Common,0,0,0,0
204,Bodhan,1081,Bodhan,14,Bengal Gram,14,Common,0,0,0,0
222,Karimnagar,1121,Karimnagar,14,Bengal Gram,14,Common,0,0,0,0
212,Choppadandi,1123,Choppadandi,14,Bengal Gram,14,Common,0,0,0,0
289,Sadasivpet,1200,Sadasivapet,14,Bengal Gram,14,Common,0,0,0,0
284,Jogipet,1208,Jogipet,14,Bengal Gram,14,Common,0,0,0,0
300,Badepally,1327,Badepally,14,Bengal Gram,14,Common,0,0,0,0
297,Alampur,1329,Ieeja,14,Bengal Gram,14,Common,0,0,0,0
308,Nagarkurnool,1334,Nagarkurnool,14,Bengal Gram,14,Common,0,0,0,0
297,Alampur,1336,Alampur,14,Bengal Gram,14,Common,0,0,0,0
309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,0,0,0,0
304,Kollapur,1601,Kollapur,14,Bengal Gram,14,Common,0,0,0,0
